"STATE","droughtDmgState"
"TEXAS",11540323500
"IOWA",5151632100
"OKLAHOMA",1710040000
"ILLINOIS",1506115000
"CALIFORNIA",1502002000
"NEBRASKA",946260000
"MISSISSIPPI",866800000
"GEORGIA",817309320
"LOUISIANA",614527000
"PENNSYLVANIA",521400000
"VIRGINIA",422360000
"KANSAS",336264000
"KENTUCKY",272400000
"MISSOURI",254560000
"OHIO",2e+08
"MICHIGAN",1.5e+08
"FLORIDA",100032000
"MARYLAND",99720600
"NORTH CAROLINA",92737000
"INDIANA",88180000
"NEW JERSEY",8e+07
"NEW YORK",50200000
"DELAWARE",29100000
"OREGON",22600000
"WEST VIRGINIA",19746000
"TENNESSEE",15305000
"NEW MEXICO",14400000
"ARKANSAS",7050000
"WISCONSIN",5568000
"MONTANA",990000
"VIRGIN ISLANDS",2e+05
"ALABAMA",1e+05
"HAWAII",1e+05
"DISTRICT OF COLUMBIA",5000
"ALASKA",0
"ARIZONA",0
"COLORADO",0
"CONNECTICUT",0
"IDAHO",0
"MAINE",0
"MASSACHUSETTS",0
"MINNESOTA",0
"NEW HAMPSHIRE",0
"NORTH DAKOTA",0
"PUERTO RICO",0
"RHODE ISLAND",0
"SOUTH CAROLINA",0
"SOUTH DAKOTA",0
"UTAH",0
"VERMONT",0
"WASHINGTON",0
"GUAM",0
"AMERICAN SAMOA",0
